symbol,entry_time,exit_time,side,strategy,entry_price,exit_price,exit_type,position_value,pnl_usdt,pnl_percent,leverage,sl_price,tp_price,adx,rsi,atr,volume_valid,month
BTC/USDT,2025-12-01 09:10:00,2025-12-01 09:15:00,LONG,TREND_PULLBACK (RSI 54.9),86384.17782349321,86671.94072550225,TP,5.0,0.4956798764416412,9.993597528832824,30,86168.35564698643,86671.94072550225,34.54438372369075,54.91326095113399,143.88145100452033,True,2025-12
BTC/USDT,2025-12-01 11:30:00,2025-12-01 11:35:00,LONG,BB_BOUNCE_BOTTOM,86197.0130116831,86400.9956627723,TP,5.049567987644164,0.35444989031204716,7.099410198641824,30,86044.0260233662,86400.9956627723,18.159766424947655,33.02635045836372,101.99132554460289,True,2025-12
BTC/USDT,2025-12-01 13:30:00,2025-12-01 13:35:00,LONG,TREND_PULLBACK (RSI 45.1),85351.9277256917,85874.42409143611,TP,5.085012976675369,0.9297951855203246,18.36501106654469,30,84960.05545138339,85874.42409143611,37.215132798741344,45.05322837968624,261.24818287220506,False,2025-12
BTC/USDT,2025-12-01 15:30:00,2025-12-01 15:35:00,LONG,BB_BOUNCE_BOTTOM,83888.03602685306,84564.52132438231,TP,5.177992495227402,1.2485400955367099,24.192435402088737,30,83380.67205370613,84564.52132438231,23.242578884320185,21.430936153291135,338.24264876462496,True,2025-12
BTC/USDT,2025-12-01 20:00:00,2025-12-01 20:25:00,SHORT,BB_BOUNCE_TOP,85819.99947866848,85294.26684044383,TP,5.302846504781073,0.9703135955511836,18.377976278897457,30,86214.29895733697,85294.26684044383,11.548926557137289,61.13178101076898,262.86631911232354,True,2025-12
BTC/USDT,2025-12-01 22:30:00,2025-12-01 22:35:00,LONG,TREND_PULLBACK (RSI 56.2),85913.1008201867,86367.89972660442,TP,5.399877864336191,0.8532414675266468,15.881125302517114,30,85572.00164037339,86367.89972660442,36.977166615462494,56.24024188240583,227.39945320886525,False,2025-12
BTC/USDT,2025-12-02 01:05:00,2025-12-02 01:10:00,SHORT,BB_BOUNCE_TOP,87271.45286667708,86838.44904444096,TP,5.485202011088855,0.8120690045736828,14.884723744576927,30,87596.20573335416,86838.44904444096,21.677137780368724,67.21047083119674,216.5019111180586,True,2025-12
BTC/USDT,2025-12-02 03:30:00,2025-12-02 03:35:00,LONG,BB_BOUNCE_BOTTOM,85952.33963300222,86270.68678899927,TP,5.566408911546223,0.6140467718869995,11.111291118647465,30,85713.57926600444,86270.68678899927,17.49890005740926,35.54339278317821,159.17357799852266,True,2025-12
BTC/USDT,2025-12-02 05:35:00,2025-12-02 05:40:00,LONG,TREND_PULLBACK (RSI 49.2),86628.7209029699,86904.69303234336,TP,5.627813588734924,0.5333515983875097,9.557065826329223,30,86421.7418059398,86904.69303234336,26.690614526176013,49.15046299180687,137.98606468673108,False,2025-12
BTC/USDT,2025-12-02 08:10:00,2025-12-02 08:30:00,LONG,BB_BOUNCE_BOTTOM,86561.21462988573,86401.12925977145,SL,5.6811487485736745,-0.31974456261927503,-5.548167414196839,30,86401.12925977145,86774.66179003811,17.78413500849558,35.8155021873194,106.72358007618905,True,2025-12
